asin,Name,Price,Avg Rating,# of Ratings
B09ZYQNZKS,FASPLORE 60 pcs Fishing Lures Bass Worm Bait Soft Plastic Fishing Lures Saltwater Freshwater Trout Bass Fishing,7.99,4.5,2
B09Y1MC5W6,JOHNCOO Soft Baits Shad Fishing Lures Paddle Tail Swimbaits Plastic Lures for Bass Trout Fishing Gifts for Men,13.99,4.2,282
B09BQFGNP4,Bombrooster Crawfish Bait Kit-40Pcs Soft Plastic Craw Bait Shrimp with TRD Jig Head,20.99,3.8,14
B09YY99XCN,iLure Octopus Swimbait Soft Squid Fishing Bait Lure kit with Skirt Tail Large Simulation Ocean Fishing 5Pcs/Pack Yellow,7.99,3.6,11
B0BC28ZQV1,6th Sense Fishing Glitch (Soft Plastic),5.99,5.0,2
B0B4Z57127,QualyQualy Fishing 2pcs Luminous Squid Lures Skirts Jig Fishing Octopus Skirts Bait Kit with Hook for Saltwater Trout Bass Soft Fishing Squid Lures Octopus Jig 1.25oz（35g） A B C D E F,12.99,4.6,3
B09GB6D5XY,Trolling Tube Fishing Lures Classic Striped Bass Tube Lures Stainless Steel Fishing Hooks Barrel Swivels Rigged Tube Lures for Cod Fishing Teaser Saltwater Game Fish,12.99,3.9,12
B09VBV1S9T,Cancout 5 Pcs Bionic Swimming Fishing Lures Soft Artificial Bait with Rotating Spins Tail Lure Bass Swimbaits Simulation Loach Saltwater Freshwater Fake Baits for Snakehead Pike Trout,9.89,4.0,9
B0B2JX1MZS,"Tolure Fishing Worm Lures with Salt for Freshwater Fishing, 6 Colors Lifelike Artificial Soft Plastic Senko Worms for Bass, Trout, Walleye, Crappie, Catfish 5.31Inch 10pcs/Pack",9.99,4.2,4
B09B9T8FVV,Pack of 30pcs Octopus Squid Skirts Fishing Lures Trolling Bait Lures Soft Plastic Fishing Bait for Bass Salmon Trout 7cm 9cm 11cm & 6 Colors,13.99,3.0,2
B0B38WG157,"10PCS Soft Bionic Fishing Lure,3.94inch Swimming Bass Lure Mix Color Simulation Loach Soft Bait Slow Sinking Swimbait Freshwater Saltwater Bouncy Fishing Lures Accessories",8.99,3.0,1
B0B8DK5P8C,"Fat Shad Finesse Baits 5"" (6ct) - Bone/Pearl",9.99,4.5,6
B0B1PH4GYC,"Fishing Swimbaits Soft Lure Paddle Tail Bait Kit Including Plastic Lure,4#Worm Hooks,Bullet Lead Weight Swivels and Tackle Box for Trout Redfish Bass(80PCS)",18.89,4.5,2
B09XWXSMNP,JOHNCOO 10pcs Fishing Lures Bionic Loach Soft Baits with Hooks Hopping Swimbaits Jump Lures Freshwater Saltwater for Bass Pike Trout,13.99,4.0,1
B0B8DMSXGL,"Fat Shad Finesse Baits 5"" (6ct) - Olive/Pear",9.99,4.6,7
B09QQN6HL1,"yurenyule Fishing Lures Kit Baits Tackle for Bass Trout Catfish Freshwater Fishing Accessories Tackle kit Box Including Swimbaits Soft Plastic Worms,Jig,Hooks,Tackle Box-186Pcs Fish Gear Set",24.99,1.0,2
B09BQGQXYQ,"Mgotu Craw Baits Kit, 30pcs/40pcs Finesse TRD Ned Rig 2.5in Soft Plastic Lure for Bass Fishing Freshwater Saltwater",20.99,4.0,46
B09LCVS4J2,"ZRM&E 100pcs Soft Stainless Steel Lure Breaker Connecting Pins Soft Fishing Lures Fishing Accessory Tools, Silver",6.98,1.0,1
B09FL3RDPB,"ZWMING Soft Fishing Lures Set, Jig Head Soft Swimbaits, Plastic Baits for Freshwater Salwater Fishing, Bass Trout Walleye Fishing Lures Kit",20.99,5.0,5
B097HYML55,Spotlip Crappie Baits Kit Plastic Shad Minnow Fishing Lures 2 inch/0.035oz for Crappie Panfish Bluegill 100-Piece Kit,14.99,4.6,23
B0BLYWH93K,"Tolure Paddle Tail Lures 5 Colors 10g/pc 4.72inch Soft Plastic Fishing Lures for Bass Trout, Pike, Walleye, Panfish, Swimbait with Special Fish Eyes, Fish Shape and Tail for Freshwater 5pcs/Pack",10.99,5.0,1
B09JLBQ1FV,JOHNCOO Soft Lures Fishing Tackle Set Swimbaits Lures Kit Paddle Tails Craw Baits Curved Tail Grubs Weighted Hooks Swivels Fishing Accessories for Bass Pike Trout in Freshwater or Saltwater,14.99,4.3,41
B0B3W6JM5X,"DTF Ned Rig Worms 2.75'' Soft Plastic Stick baits, Bass Fishing Lures Ned Baits 8pcs for Bass Trout Fishing",3.49,4.5,10
B09BQSS7D1,Bass Fishing Bait Kit Bass Fishing Crappie Soft Lure Tail Craw Bait Creature Baits Shrimp Lobster Claw Bass Soft Lures Baits for Lake Fishing,15.99,4.0,2
B09XGR4G44,"Soft Bionic Fishing Lure 45Pcs, Bass Fishing Lures, Simulation Loach Slow Sinking Bionic Swimming Lures, Bionic Fishing Lure for Saltwater & Freshwater, Suitable for Fishing Lovers Outdoor",9.99,4.2,4
B09WGH2V1P,Kalin's Tickle Shad Fishing Lure (8 Pack),8.85,4.9,11
B09WDQD4QV,"Soft Plastic Fishing Lures with Hooks, Crawfish Artificial Bionic Soft Bug Bait, Fishing Lure for Freshwater Saltwater( 5 Baits + 5 Hooks)",9.59,2.0,1
B0B3JXNZ59,"Delong Lures 6"" Weedless Leggy KILR Fishing Worms for Bass, Pike, and Other Sport Fish, Soft Plastic for Bass Fishing, Pike Fishing Lures Baits Tackle Worms for Fishing",14.95,2.9,3
B0B99CC3XG,"plplaaoo Carp Fishing Bait,30Pcs/Lot Carp Fishing 10/12mm Foam Pop Up Soft Pellets Baits Floating Lure Smell Carp Fishing Bait Boilies Fishing Bait Artificial Floating Ball Beads Feeder",11.09,4.0,1
B09X3TBJPZ,30pcs Luminous Octopus Skirts Soft Plastic Trolling Lure Squid Skirts Fishing Hoochie Bait Lures Size: Orange Blue White,10.99,3.1,2
B09ZYV2MNM,FASPLORE 100 pcs Fishing Bait Soft Lure Mixed Colors Worms Fishing Lures for Bass Crappie Fishing Lures 0.8inch /0.3g,7.99,1.9,3
B0B9Q2TJMK,KOKOPROS Kokanee Fishing- Micro Luminous 4.5 cm Squid Skirts-Assorted 50- PK,16.95,3.0,1
B0B6CYH7QQ,"Octopus Lures Squid Skirt Bait Glow in Dark Luminous Soft Trolling Fishing Lure for Tuna Marlin Dolphin Bass Lure,3/4/6/7inch",8.99,4.3,68
B097ZKXY9B,"THUNDERBELLY 5"" 2pcs Soft Swimbaits for Trophy-Caliber bass",12.99,4.0,3
B09WMHYHYV,Fishing Lures Fishing Equipment Soft Ionic Fishing Lure Bass Lures Bionic Fishing Lure Bass Fishing Fishing Bait,3.99,5.0,1
B0B7KDZKH4,"Delong Lures - The Snake 16' Snake Bass Pike Musky Lure, Soft Plastic Snake Bait, Scented Snake Lures, Large Largemouth Bass Lures",19.97,5.0,1
B09LLN84V3,Squid Trap Fishing Lures for Saltwater Soft Artificial Rigged Squid Jig Trolling Lures with UV Glow Sea Offshore Fishing…,18.99,4.5,56
B09BKMJRJP,Ned Rig Baits Bass Fishing Kit Bass Fishing Crappie Soft Lure Crawfish Bait Shrimp Lobster Claw Topwater Bass Lures for Lake Fishing,15.99,3.0,1
B09X3TF97B,"30pcs Luminous Octopus Skirts Soft Plastic Trolling Lure Squid Skirts Fishing Hoochie Bait Lures Size: 1.97 inches /2.76 inches /3.54 inches (3.54 inches -30pcs, Luminous Orange), Orange,Blue,White",12.99,5.0,3
B09VJ3P36W,Banjo Minnow 102 Piece Kit + Lifelike Lure for All Fish + Durable Material That Catches Fish + Freshwater & Saltwater Fishing Lure + Hooks & Anchors,49.99,3.7,37
B09CD4V7Q8,"Lilureena Fishing Lures Phantom Spider, Soft Lures Hooks Artificial Bait Spider Realistic Swimming Lure for Freshwater Saltwater (1/4 OZ,1.9 Inch)",6.99,3.9,26
B0969MQMQ5,OROOTL Fishing Lures for Bass Pre-Rigged Weedless Soft Plastic Lures Fishing Jig Heads Paddle Tail Swimbaits for Trout Pike Walleye Freshwater Saltwater Fishing,13.99,5.0,1
B09W2C83KF,"2022 New Soft Bionic Fishing Lure Set,Simulation Loach Soft Lure Fishing Bait Slow Sinking Bionic Fishing Swimming Lures for Saltwater Fishing Stuff Simulation Loach Soft Bait (15pcs), Yellow",8.99,3.4,5
B09YQ5J5WZ,"Jig Head Soft Fishing Lures,Crappie baits with VMC Hook,Paddle Tail Swimbaits for Bass Fishing,JoyFishing Fishing Bait for Saltwater Freshwater,Trout Crappie Fishing baits",16.99,5.0,2
B09X44DHYN,Fishing Shrimp Lures Soft Silicone Shrimp Fishing Lures Luminous Shrimp Lure Set with Sharp Hooks Fishing Tackles for Bass Trout Salmon Freshwater Saltwater Fishing,9.99,3.7,21
B0BKTGG2F1,"EliasVFishing 4.5"" Extreme Paddletail Shad - Soft Plastic Lure for Striped Bass, Redfish, Trout, Jigging & More!",10.99,5.0,4
B0BD1L7LG8,6pcs Swim Squid Fishing Lures Saltwater and Freshwater for Perch Walleye Pike Muskie Trout Tuna,9.88,4.5,2
B09F5LW2PH,DECOnology Multi-Joint Fshing Lure Segment Swimbait Realistic Bait Sets for Ice Animation Bait Bass Lures Trout Baits Topwater Fishing Lures Combination,12.99,4.4,23
B09C21YPGX,"Goture 10pcs Rattle Fishing Soft Lure - Freshwater & Saltwater Bass Fishing Bait Swimbait T-Tail Bait for Black Bass, Topmouth Culter",8.99,1.7,3
B0B1N51KPN,"Fisherman Gifts for Friend Fishing Buddy, Funny Engraved Fishing Lures Hook Fishing Lovers Gift, Stainless Steel Lures Men Friend Fishing Lover Gift Ideas",8.99,5.0,1
B09N8RCVKH,"Avlcoaky Frog Lure Bass Fishing Lure, Top Water Double Propeller Frog Soft Bait Fishing Frogs, Floating Weedless Plastic Swimbaits",3.49,3.8,23
B099S67RZY,Fishing Lures Jig Head Hooks Kits - 17pcs Grub Bait Lures Soft Plastic Grub Tail Worm Lure Tubes Baits for Bass Trout Walleye Crappie,9.99,4.7,4
B09SKNHZL7,"5 pcs/Box Fishing Lure for Bass,Trout,Walleye,Predator., Yellow, 3.9 inch",18.89,4.5,4
B09FF9862P,Lead Head Jigs Soft Fishing Lures Swimbaits with Hooks Sinking Baits for Saltwater & Freshwater(5pcs/Set),10.99,4.6,11
B09KZ9NTMR,"FRESHBAITZ Bass Fishing Scorpion Sampler Kit | Soft Plastic Fishing Lures for Bass Trout, Fishing Lures Box, Lifelike Fishing Lures Kit",44.99,4.5,25
B09TV2FSC7,Remembrance Fishing Lure Fishing in Heaven Forever in My Heart Personalized Remembrance Gift,9.99,1.0,1
B096SJFKWJ,Crappie-Baits- Plastics-Jig-Heads-Kit-Minnow-Fishing-Lures-for Crappie-Panfish-Bluegill-20Piece Kit - 15 Bodies- 5 Crappie Jig Heads,7.99,4.3,112
B0BD4CMMK1,"216PCS Fishing Lures for Freshwater,Fishing Lures Baits Tackle Soft Plastic Worms Lures Crankbait Jigs Fishing Hooks,Saltwater Freshwater Soft Bait and Hook Fishing Kit for Bass",24.99,4.1,21
B09C27P9F2,"6 Pack Bass Fishing Jig Lure with Swivel Snap Connectors, Paddle Tail Swimbaits, Fishing Lures for Bass, Trout Fishing Baits, Weedless Soft Plastic Lures for Freshwater Saltwater",9.58,4.2,5
B0B3Z7J4RC,6th Sense Fishing Sweep,14.99,5.0,4
B09D3KX1S3,Doorslay 100pcs 4cm Soft Artificial Fishing Lures Soft Plastic Bass Lure Swimbait Tail Grub Lures Worm Moggot Grub Lures Baits for Bass Trout,6.98,4.3,5
B09CKNVR9T,"WIMSSERT Fishing Lures Baits Tackle Including Unique Minnow, Crankbaits, Spinnerbaits, Plastic Worm, Jig, Double Side Tackle Box and Fishing Gear Lures Kit Set, 35Pcs/98Pcs/190pcs Fishing Lure Tackle",30.79,4.5,15
B09R917RMP,"Gary Yamamoto 5'' SENKO Rainbow Trout/#317 (10 Pack), Multicolor (YAM-9-10-908/317)",7.99,5.0,2
B09J4H31WW,"Fishing Worms Soft 200Pcs Fake Earthworm,Plastic Soft Stretchy Realistic Earthworms Simulated Fishing Lures baits for Halloween April fool's Day Party",8.44,3.5,4
B09V6XTW65,Googan Baits Blazin Worm - Swimming Speed Worm,13.95,4.2,25
B0B3W772WZ,"DTF Ned Rig Worms 2.75'' Soft Plastic Stick baits, Bass Fishing Lures Ned Baits 8pcs for Bass Trout Fishing",3.49,4.5,10
B0B3JCRFF9,"Xhope4u Simulation Fake Corn Soft Baits Ball Carp Fishing Lures Floating Baits Ball with Nice Scent for Carp Fishing,Trout Fishing,Cat Fish,Ball Shape,50 pcs",9.99,4.3,3
B09X4RSJX6,"Moose Baits 1/8oz Curly Tail Grub Fishing Jigs, Round Ball Head Jig, Panfish Softbait, Crappie Bait, Crappie Fishing Jig, Soft Plastic Worm Swimbaits, Tackle for Crappie Bass Trout 7 Count (White)",7.27,4.0,2
B09HWHW9NW,6th Sense Fishing Vega Frog Topwater Lure,13.99,4.9,36
B0B2KMT5H6,6th Sense Fishing Munch 40,9.99,5.0,2
B09BD971PQ,"LUCKYMEOW Topwater Frog Lures Soft Frog Swimbaits with Weedless Fishing Lures Topwater Fishing Soft Bait Kit for Bass Trout Snakehead Musky Salmon,Freshwater Saltwater Fishing",14.98,4.4,15
B0B17KSC3T,Rab-Shad,7.99,5.0,1
B09GYRQF45,"Yo-Zuri R1412-RMT: 3D Inshore Popper (F) 120Mm 4-3/4"", Real Mullet",9.99,4.8,8
B0BLGK6L35,JOHNCOO Multi Jointed Swimbaits Kit Fishing Lures for Bass Trout Slow Sinking Freshwater Saltwater Lifelike Fishing Baits Box Gifts for Men,17.99,4.6,40
B09YLXHPQP,"10PCS Soft Bionic Fishing Lure, Slow Sinking Bionic Swimming Lures, Creative Realistic Can Bounce Fishing Stuff Simulation Loach Soft Bait Fishing Lures for Outdoor Saltwater Freshwater Fishing",3.22,3.4,5
B09V6TJY3G,"Fishfun Wacky Rig Tool with Silicone O Rings, 100Pcs for 3""-4"" Senko Worms and 100Pcs for 5""-7"" Worms. Easy Installation and Great Protection of Your Plastic Worms",12.99,4.6,248
B09BBP81XB,"Darth Water Lures, Micro Glow Sticks, 10-Pack, Chartreuse Color",6.49,5.0,1
B09TRTGRJY,FLE-FLY Go Go Minnows Soft Plastic Baits with Vibrating Curl Tail,6.49,4.6,24
B0B4ZCWY9Y,Soft Plastic Fishing Lure Injection Mold for Sexy Drop Shot Worm DIY Soft Bait Lure Making Tool,33.99,5.0,1
B0B2RR5R8J,"Topwater Bass Fishing Lures Set, Multi Jointed & Hard Swimbait, Soft Frog & Spider Bait, Plopping Propeller Tail, Bigger Splash Whopping, 3D Eyes Lifelike Body Pattern, Barbed Hooks, for Trout Snakehead Pike, 8 pcs",18.98,5.0,1
B0BL3ZG7J3,Capt Jay Fishing Trolling Fishing Lures Offshore Inshore Game Fishing Jet Head Octopus Skirts trolling Lure mahimahi Fishing trolling Lure 5 inch 6 inch,32.98,4.5,197
B09DXP2RK7,Blitz Lures - Power Tail Soft Plastic Swim Bait Paddle Tail Trailers Multi Pack Made in USA,8.99,5.0,1
B09TRW2N62,"Rosewood 3-Jointed Paddle Tail Swimbait Big T Tail Soft Lures with rig Set for Pike Fishing,Pike Lure 6.3in. 8.6in",9.98,4.5,2
B09MYW9KP9,"Pack of 8 pcs Senko Worms Soft Stick Plastic Lures for Bass,Salt Impreatation Worm Baits for Grub Baits Hook Wacky Rig,Carolina Rig, Texas Rig,no Sinker Rig,splt Shot Rig.(5/6 inches)",7.99,3.5,2
B09DDH182Y,Capt Jay Fishing Offshore Big Game Trolling Lure for Marlin Tuna Mahi Wahoo Trolling Lures (Golden Monster-Length 13.5 inch ),29.98,4.5,57
B0B3QLHTYJ,"Catch Co. Mike Bucca's Bull Mullet | 5.5"" 1.5 oz | Swimbait",19.99,5.0,1
B0B5WPBS9P,"Drop Shot Swimbait Hooks,50pcs in-line Drop Shot Rig Hooks Swivel Soft Plastic Worm Hooks for Bass,Perch Fishing Size 2/0,3/0,4/0",11.99,3.7,8
B09V97PPSV,"Pure Crappie Pig Tail Pro - White/Chartreuse 2.5” - 20 Pack – Curly Tail Grub Lure Perfect Soft Plastic Artificial Bait for Crappie, Walleye, Smallmouth Bass and Many Species of Fish",9.99,3.5,2
B09WJNW4YZ,Nomad Design Slipstream 140 Flying Fish,39.99,4.5,9
B09C1YK3PM,"Soft Plastic Crawfish Bait Fishing Lure for Crappie, Bass, Bluegill, White Perch, Sunfish, Speckled Trout All Panfish Softlure Artificial Crayfish Lures Bait Drop Shot Rig Lure Slow Sinking",15.99,3.6,4
B0B1RPYSF5,"Pure Crappie Pig Tail - Pink/Chartreuse 2” - 20 Pack – Curly Tail Grub Lure Perfect Soft Plastic Artificial Bait for Crappie, Walleye, Smallmouth Bass and Many Species of Fish",9.99,3.5,2
B0B1QVSJ7P,"Pure Crappie Pig Tail Pro - Monkey Milk 2.5'' - 20 Pack – Curly Tail Grub Lure Perfect Soft Plastic Artificial Bait for Crappie, Walleye, Smallmouth Bass and Many Species of Fish, White, Chartreuse",9.99,4.0,1
B09WG1XZQB,Kalin's Tickle Shad Fishing Lure (8 Pack),8.99,4.9,11
B097DD32BB,BEARKING Fishing Lures 135mm 1oz Jointed Minnow Wobblers ABS Body with Soft Tail SwimBaits Soft Lure for Pike and bass,9.99,4.5,34
B09Q2S77LK,Frog Soft Fishing Lures 3Pcs Box Set Swimbaits for Bass Trout for Freshwater and Saltwater Fishing Gifts for Men,11.98,4.7,4
B09W5KYL3V,"Soft Bionic Fishing Lure, Artificial Fishing Lures for Saltwater & Freshwater, Fishing Equipment Lures Fishing Stuff Simulation Loach Soft Lure 8cm-7g Suitable for Fishing Lovers Outdoor (10PCS)",13.99,3.9,7
B09TPJ7NG2,"JoyFishing Top Water Frogs Bass Fishing Lures, Popping Frog Lures for Bass Fishing, Weedless Hollow Body Frogs Lures",11.89,4.8,5
B0B6WMC8Y1,"Topwater Soft Frog Fishing Baits for Bass Snakehead, Popper Mouth Bigger Spray More Attractive, 3D Eyes Lifelike Silicone Skin 2 Barbed Hooks, Fishing Lure Set for Bass Snakehead Pike Trout 8pcs",11.99,3.6,5
B09YHK7TK2,"Weighted Swimbait Hooks,Jig Heads Fishing Hooks with Twistlock,Soft Plastic Worm Fishing Hook 2g/2.5g/3g/5.25g/7g,JoyFishing Fishing Hooks Extra Wide Gap Hook with Lead",16.49,5.0,2
B09XF1F1QZ,"SONGTIY Soft Bionic Fishing Lure, 6PCS Realistic Swimming Loach Bait Lures, Saltwater & Freshwater Fishing Bait, Suitable for Fishing Lovers Outdoor",3.99,4.0,3
B09Y284H9P,"Frog Fishing Lure Kits with 5 Pcs of Frog Soft Baits,as Topwater Lures and Artificial Soft Baits for Bass Snakehead",9.99,5.0,1
B09QW3FN4X,"YUWOSUOYYE Saltwater Trolling Bait Kit (10"") Contains 1 jig Head and 3 PVC Bodies per Pack for Tuna Fishing.",19.9,4.0,1
B09TQW66ZB,"100Pack Soft Plastic Lures, T-Tail Soft Baits, Soft Paddle Tail Baits for Saltwater Freshwater",13.99,3.0,2
B09BMSKCJ8,"Honicol Fishing Lures for Bass Topwater Frog Lure - Weedless Lures Soft Plastic Fishing Bait, 5pcs Toad Lures with Tackle Box",19.99,3.7,4
B09X9RPZNL,QualyQualy Swim Baits Lures for Bass Fishing Worms for Bass Trout Walleye Soft Bait,10.99,4.0,2
B0B8CTY665,Innovative Soft Lures for Bass Fishing,7.98,5.0,1
B09TRQ42VK,FLE-FLY Crappie Kickers Soft Plastic Baits with Thin Vibrating Tail,6.49,4.5,47
B09R1R72M8,Fishing Lures Soft Lures Shrimp Bait Set for Freshwater Saltwater,16.99,5.0,1
B09VSWMJWM,"Soft Bionic Fishing Lure, Simulation Loach Plastic Shrimp Oil Smell Fishing Bait, Slow Sinking Bionic Swimming Lures for Saltwater & Freshwater",13.98,3.7,3
B09ZY9TGSK,Crappie-Baits- Plastics-Jig-Heads-Kit-Shad-Minnow-Fishing-Lures-for Crappie-Panfish-Bluegill-40 &135 Piece Kit,32.99,4.3,569
